site_id,account_id,rclv,segment,run_date
SITE001,ACC0001,125.45,Retail,2026-05-01
SITE002,ACC0002,89.12,Enterprise,2026-05-01
SITE003,ACC0003,210.78,SMB,2026-05-01
SITE004,ACC0004,54.33,Retail,2026-05-01
SITE005,ACC0005,312.67,Enterprise,2026-05-01
SITE006,ACC0006,78.90,SMB,2026-05-02
SITE007,ACC0007,145.21,Retail,2026-05-02
SITE008,ACC0008,98.76,Enterprise,2026-05-02
SITE009,ACC0009,267.43,SMB,2026-05-02
SITE010,ACC0010,189.55,Retail,2026-05-02
SITE011,ACC0011,76.11,Enterprise,2026-05-03
SITE012,ACC0012,134.89,SMB,2026-05-03
SITE013,ACC0013,245.67,Retail,2026-05-03
SITE014,ACC0014,91.23,Enterprise,2026-05-03
SITE015,ACC0015,178.44,SMB,2026-05-03
SITE016,ACC0016,65.32,Retail,2026-05-04
SITE017,ACC0017,287.90,Enterprise,2026-05-04
SITE018,ACC0018,123.56,SMB,2026-05-04
SITE019,ACC0019,199.87,Retail,2026-05-04
SITE020,ACC0020,154.21,Enterprise,2026-05-04
SITE021,ACC0021,88.65,SMB,2026-05-05
SITE022,ACC0022,321.44,Retail,2026-05-05
SITE023,ACC0023,143.76,Enterprise,2026-05-05
SITE024,ACC0024,57.89,SMB,2026-05-05
SITE025,ACC0025,276.12,Retail,2026-05-05
SITE026,ACC0026,165.43,Enterprise,2026-05-06
SITE027,ACC0027,109.87,SMB,2026-05-06
SITE028,ACC0028,234.55,Retail,2026-05-06
SITE029,ACC0029,98.21,Enterprise,2026-05-06
SITE030,ACC0030,186.77,SMB,2026-05-06
SITE031,ACC0031,73.54,Retail,2026-05-07
SITE032,ACC0032,298.66,Enterprise,2026-05-07
SITE033,ACC0033,142.35,SMB,2026-05-07
SITE034,ACC0034,84.91,Retail,2026-05-07
SITE035,ACC0035,251.19,Enterprise,2026-05-07
SITE036,ACC0036,177.83,SMB,2026-05-08
SITE037,ACC0037,68.47,Retail,2026-05-08
SITE038,ACC0038,315.28,Enterprise,2026-05-08
SITE039,ACC0039,121.64,SMB,2026-05-08
SITE040,ACC0040,207.95,Retail,2026-05-08
SITE041,ACC0041,95.14,Enterprise,2026-05-09
SITE042,ACC0042,263.72,SMB,2026-05-09
SITE043,ACC0043,151.38,Retail,2026-05-09
SITE044,ACC0044,82.56,Enterprise,2026-05-09
SITE045,ACC0045,290.41,SMB,2026-05-09
SITE046,ACC0046,136.75,Retail,2026-05-10
SITE047,ACC0047,69.88,Enterprise,2026-05-10
SITE048,ACC0048,224.63,SMB,2026-05-10
SITE049,ACC0049,174.29,Retail,2026-05-10
SITE050,ACC0050,107.93,Enterprise,2026-05-10
SITE051,ACC0051,256.84,SMB,2026-05-11
SITE052,ACC0052,93.45,Retail,2026-05-11
SITE053,ACC0053,188.72,Enterprise,2026-05-11
SITE054,ACC0054,117.56,SMB,2026-05-11
SITE055,ACC0055,304.19,Retail,2026-05-11
SITE056,ACC0056,79.66,Enterprise,2026-05-12
SITE057,ACC0057,241.87,SMB,2026-05-12
SITE058,ACC0058,158.33,Retail,2026-05-12
SITE059,ACC0059,102.48,Enterprise,2026-05-12
SITE060,ACC0060,273.95,SMB,2026-05-12
SITE061,ACC0061,146.27,Retail,2026-05-13
SITE062,ACC0062,87.31,Enterprise,2026-05-13
SITE063,ACC0063,219.76,SMB,2026-05-13
SITE064,ACC0064,168.54,Retail,2026-05-13
SITE065,ACC0065,111.92,Enterprise,2026-05-13
SITE066,ACC0066,285.63,SMB,2026-05-14
SITE067,ACC0067,132.45,Retail,2026-05-14
SITE068,ACC0068,74.88,Enterprise,2026-05-14
SITE069,ACC0069,236.17,SMB,2026-05-14
SITE070,ACC0070,181.39,Retail,2026-05-14
SITE071,ACC0071,99.64,Enterprise,2026-05-15
SITE072,ACC0072,261.82,SMB,2026-05-15
SITE073,ACC0073,149.57,Retail,2026-05-15
SITE074,ACC0074,86.25,Enterprise,2026-05-15
SITE075,ACC0075,297.48,SMB,2026-05-15
SITE076,ACC0076,124.76,Retail,2026-05-16
SITE077,ACC0077,71.53,Enterprise,2026-05-16
SITE078,ACC0078,213.68,SMB,2026-05-16
SITE079,ACC0079,172.84,Retail,2026-05-16
SITE080,ACC0080,105.29,Enterprise,2026-05-16
SITE081,ACC0081,248.37,SMB,2026-05-17
SITE082,ACC0082,91.74,Retail,2026-05-17
SITE083,ACC0083,184.62,Enterprise,2026-05-17
SITE084,ACC0084,119.48,SMB,2026-05-17
SITE085,ACC0085,308.15,Retail,2026-05-17
SITE086,ACC0086,77.92,Enterprise,2026-05-18
SITE087,ACC0087,229.54,SMB,2026-05-18
SITE088,ACC0088,161.88,Retail,2026-05-18
SITE089,ACC0089,108.76,Enterprise,2026-05-18
SITE090,ACC0090,279.43,SMB,2026-05-18
SITE091,ACC0091,141.95,Retail,2026-05-19
SITE092,ACC0092,83.67,Enterprise,2026-05-19
SITE093,ACC0093,222.31,SMB,2026-05-19
SITE094,ACC0094,176.49,Retail,2026-05-19
SITE095,ACC0095,113.28,Enterprise,2026-05-19
SITE096,ACC0096,291.75,SMB,2026-05-20
SITE097,ACC0097,128.63,Retail,2026-05-20
SITE098,ACC0098,75.41,Enterprise,2026-05-20
SITE099,ACC0099,238.97,SMB,2026-05-20
SITE100,ACC0100,169.52,Retail,2026-05-20
